GADE,Game,Platform,Hours,Narcissism,Gender,Work,Degree,GAD_T,SWL_T,SPIN_T
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),10,11,14.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Student at college / university,Bachelor (or equivalent),8,20,14.0
,League of Legends,PC,20.0,2.0,Male,Employed,Bachelor (or equivalent),0,34,9.0
Somewhat difficult,Guild Wars 2,PC,28.0,2.0,Male,Student at college / university,High school diploma (or equivalent),10,10,9.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),6,18,24.0
Somewhat difficult,League of Legends,PC,12.0,2.0,Male,Student at college / university,Bachelor (or equivalent),5,12,11.0
Not difficult at all,League of Legends,PC,40.0,1.0,Male,Student at college / university,High school diploma (or equivalent),10,7,12.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),16,11,38.0
,League of Legends,PC,20.0,2.0,Male,Employed,Bachelor (or equivalent),0,28,0.0
Not difficult at all,League of Legends,PC,60.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,24,11.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Employed,Master (or equivalent),1,24,6.0
Somewhat difficult,League of Legends,PC,15.0,,Male,Student at college / university,High school diploma (or equivalent),5,14,22.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Employed,High school diploma (or equivalent),4,19,
Somewhat difficult,League of Legends,PC,5.0,2.0,Male,Student at school,High school diploma (or equivalent),5,23,9.0
Not difficult at all,League of Legends,PC,65.0,3.0,Female,Student at college / university,Bachelor (or equivalent),0,21,12.0
,Starcraft 2,PC,10.0,5.0,Male,Student at college / university,High school diploma (or equivalent),0,29,10.0
Not difficult at all,League of Legends,PC,21.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),5,10,14.0
Very difficult,League of Legends,PC,56.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),10,11,25.0
Not difficult at all,League of Legends,PC,14.0,2.0,Male,Student at college / university,Bachelor (or equivalent),2,34,10.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,Bachelor (or equivalent),4,18,8.0
Very difficult,League of Legends,PC,15.0,2.0,Male,Student at college / university,Bachelor (or equivalent),2,15,17.0
,League of Legends,PC,10.0,3.0,Male,Student at college / university,High school diploma (or equivalent),0,20,8.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Employed,High school diploma (or equivalent),3,28,17.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,22,7.0
Somewhat difficult,Starcraft 2,PC,30.0,3.0,Male,Student at college / university,High school diploma (or equivalent),5,20,14.0
Not difficult at all,League of Legends,PC,16.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,20,16.0
Somewhat difficult,League of Legends,PC,40.0,1.0,Male,Unemployed / between jobs,,2,5,36.0
Not difficult at all,Destiny,"Console (PS, Xbox, ...)",14.0,1.0,Female,Employed,Bachelor (or equivalent),3,31,21.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,Bachelor (or equivalent),6,27,5.0
Not difficult at all,League of Legends,PC,10.0,1.0,Female,Student at school,,3,12,40.0
Not difficult at all,League of Legends,PC,42.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,25,35.0
Somewhat difficult,League of Legends,PC,17.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,23,7.0
Somewhat difficult,League of Legends,PC,3.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,27,12.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",25.0,4.0,Male,Student at college / university,High school diploma (or equivalent),12,12,16.0
Not difficult at all,League of Legends,PC,15.0,2.0,Male,Student at school,,3,18,18.0
Very difficult,Other,PC,70.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),21,6,56.0
Not difficult at all,League of Legends,PC,24.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,26,19.0
Very difficult,League of Legends,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),11,13,54.0
Very difficult,Counter Strike,PC,12.0,4.0,Male,Employed,Bachelor (or equivalent),10,14,6.0
Not difficult at all,League of Legends,PC,28.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,19,23.0
Not difficult at all,League of Legends,PC,20.0,4.0,Male,Student at college / university,High school diploma (or equivalent),4,28,7.0
Not difficult at all,League of Legends,PC,16.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,27,7.0
Somewhat difficult,Other,"Console (PS, Xbox, ...)",20.0,3.0,Male,Employed,High school diploma (or equivalent),4,15,21.0
Not difficult at all,League of Legends,PC,14.0,1.0,Male,Student at school,,2,29,6.0
Very difficult,League of Legends,PC,20.0,1.0,Male,,High school diploma (or equivalent),15,11,59.0
Somewhat difficult,Other,PC,40.0,1.0,Female,Employed,Bachelor (or equivalent),12,26,35.0
Not difficult at all,League of Legends,PC,10.0,4.0,Male,Student at school,,0,31,29.0
,Other,PC,70.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,19,37.0
Not difficult at all,League of Legends,PC,16.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,27,7.0
Very difficult,Other,PC,42.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,5,20.0
Extremely difficult,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),14,15,37.0
Not difficult at all,Other,PC,10.0,2.0,Male,Employed,Bachelor (or equivalent),0,25,19.0
Very difficult,League of Legends,PC,21.0,2.0,Male,Student at college / university,High school diploma (or equivalent),11,9,54.0
Somewhat difficult,League of Legends,PC,20.0,4.0,Male,Student at college / university,High school diploma (or equivalent),3,26,13.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,32,18.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Female,Student at school,,6,19,36.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,11,12.0
Somewhat difficult,World of Warcraft,PC,54.0,1.0,Male,Student at college / university,High school diploma (or equivalent),9,11,40.0
Somewhat difficult,League of Legends,PC,15.0,4.0,Male,Unemployed / between jobs,Bachelor (or equivalent),8,28,
Not difficult at all,League of Legends,PC,12.0,3.0,Male,Student at college / university,High school diploma (or equivalent),6,31,43.0
Not difficult at all,Counter Strike,PC,3.0,3.0,Male,Unemployed / between jobs,Bachelor (or equivalent),7,25,13.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),16,5,34.0
Somewhat difficult,League of Legends,PC,24.0,3.0,Male,Student at college / university,Bachelor (or equivalent),15,15,47.0
Not difficult at all,League of Legends,PC,12.0,3.0,Male,Student at school,,6,15,7.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),10,22,31.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Student at school,,5,25,26.0
Somewhat difficult,League of Legends,PC,30.0,3.0,Male,Unemployed / between jobs,High school diploma (or equivalent),7,9,8.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,33,13.0
Not difficult at all,Counter Strike,PC,37.0,3.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,12,19.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Student at school,,6,13,20.0
Not difficult at all,League of Legends,PC,15.0,2.0,Male,Student at college / university,Bachelor (or equivalent),7,21,16.0
Somewhat difficult,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),9,18,9.0
Not difficult at all,Hearthstone,PC,5.0,2.0,Male,Student at school,,4,16,17.0
Very difficult,League of Legends,PC,16.0,3.0,Male,Student at college / university,High school diploma (or equivalent),9,18,
Not difficult at all,League of Legends,PC,35.0,2.0,Male,Student at college / university,High school diploma (or equivalent),4,25,10.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Student at college / university,Bachelor (or equivalent),4,30,17.0
Not difficult at all,League of Legends,PC,7.0,1.0,Male,Employed,Bachelor (or equivalent),3,6,3.0
Somewhat difficult,Other,PC,21.0,1.0,Male,Student at school,,7,19,
Extremely difficult,League of Legends,PC,20.0,1.0,Male,Employed,Bachelor (or equivalent),21,13,16.0
Somewhat difficult,League of Legends,PC,5.0,2.0,Male,Student at school,High school diploma (or equivalent),11,24,34.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Employed,High school diploma (or equivalent),1,25,11.0
Somewhat difficult,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),10,14,39.0
Not difficult at all,League of Legends,PC,21.0,1.0,Male,Employed,High school diploma (or equivalent),8,20,15.0
Not difficult at all,Other,PC,20.0,2.0,Male,Student at school,,1,23,7.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Student at college / university,,2,27,20.0
Not difficult at all,League of Legends,PC,15.0,3.0,Male,Unemployed / between jobs,Bachelor (or equivalent),2,19,5.0
Somewhat difficult,League of Legends,PC,25.0,2.0,Male,Student at school,High school diploma (or equivalent),8,25,9.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),12,8,12.0
Not difficult at all,Other,PC,25.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,20,8.0
Very difficult,League of Legends,PC,35.0,1.0,Male,Student at college / university,High school diploma (or equivalent),12,15,31.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),4,18,4.0
Not difficult at all,League of Legends,PC,6.0,2.0,Male,Student at college / university,Master (or equivalent),11,25,10.0
Not difficult at all,League of Legends,PC,14.0,1.0,Male,Employed,Bachelor (or equivalent),1,32,5.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,21,12.0
Somewhat difficult,Hearthstone,PC,30.0,3.0,Male,Student at college / university,High school diploma (or equivalent),12,30,22.0
Somewhat difficult,League of Legends,PC,12.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,24,34.0
Not difficult at all,League of Legends,PC,40.0,4.0,Male,Student at college / university,High school diploma (or equivalent),2,25,2.0
Very difficult,League of Legends,PC,35.0,2.0,Male,Student at school,,8,17,3.0
Not difficult at all,League of Legends,PC,40.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),2,13,27.0
Not difficult at all,League of Legends,PC,6.0,4.0,Male,Student at college / university,High school diploma (or equivalent),5,17,22.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,10,36.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Employed,High school diploma (or equivalent),14,17,6.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),14,10,19.0
Somewhat difficult,Starcraft 2,PC,35.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,23,14.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Male,Student at college / university,High school diploma (or equivalent),11,19,36.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Male,Student at school,High school diploma (or equivalent),6,17,18.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,27,14.0
Somewhat difficult,League of Legends,PC,50.0,1.0,Male,Student at school,High school diploma (or equivalent),3,9,22.0
Somewhat difficult,League of Legends,PC,7.0,3.0,Male,Student at school,,3,23,51.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at school,High school diploma (or equivalent),0,27,27.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,15,15.0
Somewhat difficult,League of Legends,PC,7.0,1.0,Male,Student at school,High school diploma (or equivalent),9,26,21.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,7,49.0
Very difficult,Hearthstone,PC,14.0,1.0,Female,Unemployed / between jobs,High school diploma (or equivalent),21,15,28.0
Somewhat difficult,League of Legends,PC,40.0,1.0,Male,Student at college / university,,6,21,47.0
,League of Legends,PC,15.0,3.0,Male,Employed,Bachelor (or equivalent),0,21,37.0
Extremely difficult,League of Legends,PC,20.0,1.0,Female,Student at college / university,High school diploma (or equivalent),21,24,25.0
Extremely difficult,Other,PC,140.0,5.0,Male,Employed,Bachelor (or equivalent),12,5,44.0
Not difficult at all,League of Legends,PC,10.0,3.0,Male,Student at college / university,Bachelor (or equivalent),10,20,36.0
Not difficult at all,League of Legends,PC,17.0,2.0,Male,Student at school,High school diploma (or equivalent),3,29,7.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at school,High school diploma (or equivalent),3,17,16.0
Somewhat difficult,League of Legends,PC,35.0,2.0,Male,Student at college / university,High school diploma (or equivalent),15,25,50.0
Not difficult at all,League of Legends,PC,7.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,23,32.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,28,13.0
Somewhat difficult,League of Legends,PC,24.0,2.0,Male,Student at school,High school diploma (or equivalent),5,22,
Not difficult at all,League of Legends,PC,45.0,2.0,Male,Student at college / university,Bachelor (or equivalent),2,18,14.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Unemployed / between jobs,Master (or equivalent),3,14,2.0
,League of Legends,PC,2.0,1.0,Male,Student at school,,0,31,14.0
Somewhat difficult,Other,PC,6.0,2.0,Male,Employed,Bachelor (or equivalent),12,17,15.0
Not difficult at all,League of Legends,PC,25.0,3.0,Male,Employed,High school diploma (or equivalent),2,12,17.0
Somewhat difficult,League of Legends,PC,35.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,10,56.0
Not difficult at all,League of Legends,PC,15.0,4.0,Male,Student at college / university,High school diploma (or equivalent),8,22,20.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Student at school,High school diploma (or equivalent),5,11,
Not difficult at all,League of Legends,PC,28.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),2,16,14.0
Somewhat difficult,League of Legends,PC,8.0,2.0,Female,Student at college / university,High school diploma (or equivalent),4,17,30.0
Not difficult at all,League of Legends,PC,28.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,19,
Not difficult at all,League of Legends,PC,25.0,5.0,Male,Student at college / university,High school diploma (or equivalent),0,25,4.0
Not difficult at all,League of Legends,PC,100.0,1.0,Male,Employed,Bachelor (or equivalent),0,22,16.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Employed,High school diploma (or equivalent),0,19,7.0
Not difficult at all,League of Legends,PC,16.0,1.0,Male,Student at college / university,Bachelor (or equivalent),2,21,10.0
,League of Legends,PC,11.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,22,15.0
Somewhat difficult,League of Legends,PC,40.0,1.0,Male,Student at school,High school diploma (or equivalent),11,9,18.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Female,Student at college / university,Bachelor (or equivalent),2,26,18.0
Very difficult,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),10,16,45.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Employed,High school diploma (or equivalent),0,28,5.0
Not difficult at all,Counter Strike,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,5,33.0
Not difficult at all,Hearthstone,PC,16.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,28,18.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,22,17.0
Very difficult,League of Legends,PC,25.0,3.0,Male,Employed,High school diploma (or equivalent),10,13,32.0
Not difficult at all,League of Legends,PC,21.0,2.0,Male,Student at college / university,Bachelor (or equivalent),1,16,10.0
,League of Legends,PC,15.0,1.0,Male,Student at school,High school diploma (or equivalent),0,25,7.0
Somewhat difficult,League of Legends,PC,20.0,4.0,Male,Student at college / university,Bachelor (or equivalent),6,22,11.0
Somewhat difficult,Other,PC,35.0,5.0,Male,Student at college / university,High school diploma (or equivalent),3,20,7.0
Not difficult at all,World of Warcraft,PC,20.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),1,27,24.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),1,16,15.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Employed,Bachelor (or equivalent),1,30,
Not difficult at all,Other,PC,40.0,1.0,Male,Employed,High school diploma (or equivalent),3,9,24.0
Somewhat difficult,League of Legends,PC,40.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,16,39.0
Not difficult at all,League of Legends,PC,70.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,28,1.0
Somewhat difficult,League of Legends,PC,18.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,25,8.0
Not difficult at all,League of Legends,PC,4.0,1.0,Male,Employed,Bachelor (or equivalent),1,23,15.0
Very difficult,League of Legends,PC,10.0,1.0,Female,Unemployed / between jobs,High school diploma (or equivalent),11,6,60.0
Not difficult at all,League of Legends,PC,36.0,1.0,Male,Student at school,,5,31,
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Student at college / university,,3,24,28.0
Not difficult at all,League of Legends,PC,7.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,12,8.0
Not difficult at all,League of Legends,PC,15.0,2.0,Male,Employed,High school diploma (or equivalent),2,17,12.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),6,20,23.0
Not difficult at all,Counter Strike,PC,8.0,3.0,Male,Student at college / university,Bachelor (or equivalent),2,21,23.0
Not difficult at all,Counter Strike,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),2,14,
Not difficult at all,League of Legends,PC,20.0,4.0,Male,Employed,High school diploma (or equivalent),2,17,12.0
Somewhat difficult,League of Legends,PC,20.0,5.0,Male,Student at college / university,Bachelor (or equivalent),4,14,1.0
Somewhat difficult,League of Legends,PC,16.0,3.0,Male,Student at college / university,Bachelor (or equivalent),4,17,25.0
Very difficult,Counter Strike,PC,25.0,3.0,Male,Unemployed / between jobs,High school diploma (or equivalent),9,6,43.0
,League of Legends,PC,7.0,2.0,Male,Employed,Master (or equivalent),0,32,0.0
Very difficult,League of Legends,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),14,9,16.0
Somewhat difficult,League of Legends,PC,35.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,33,0.0
Extremely difficult,League of Legends,PC,40.0,5.0,Male,Unemployed / between jobs,High school diploma (or equivalent),21,6,53.0
Not difficult at all,Counter Strike,PC,19.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,27,8.0
Somewhat difficult,Counter Strike,PC,20.0,3.0,Male,Student at school,High school diploma (or equivalent),14,20,
Not difficult at all,League of Legends,PC,8.0,2.0,Male,Employed,Bachelor (or equivalent),4,20,16.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at school,High school diploma (or equivalent),3,19,13.0
Not difficult at all,League of Legends,PC,12.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),3,8,32.0
Very difficult,League of Legends,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),8,18,16.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Employed,Bachelor (or equivalent),4,23,31.0
Very difficult,Other,"Console (PS, Xbox, ...)",20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),8,15,34.0
Somewhat difficult,League of Legends,PC,15.0,3.0,Male,Employed,Bachelor (or equivalent),5,22,9.0
Not difficult at all,League of Legends,PC,5.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,18,3.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Employed,High school diploma (or equivalent),0,19,8.0
Very difficult,League of Legends,PC,30.0,2.0,Male,Student at college / university,High school diploma (or equivalent),14,23,21.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,15,16.0
Not difficult at all,League of Legends,PC,25.0,2.0,Male,Student at school,,2,34,32.0
Somewhat difficult,League of Legends,PC,12.0,1.0,Male,Student at college / university,High school diploma (or equivalent),17,11,2.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,17,8.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,26,4.0
Somewhat difficult,League of Legends,PC,17.0,1.0,Female,Employed,Bachelor (or equivalent),9,26,38.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Student at college / university,High school diploma (or equivalent),8,34,11.0
Not difficult at all,League of Legends,PC,21.0,1.0,Male,Employed,High school diploma (or equivalent),1,20,4.0
Somewhat difficult,Other,PC,30.0,,Male,Student at school,High school diploma (or equivalent),3,23,9.0
Somewhat difficult,League of Legends,PC,45.0,3.0,Male,Student at school,,7,15,43.0
Not difficult at all,League of Legends,PC,5.0,1.0,Male,Student at college / university,,3,20,30.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,22,8.0
Not difficult at all,League of Legends,PC,30.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,28,6.0
Not difficult at all,League of Legends,PC,60.0,3.0,Male,Employed,Bachelor (or equivalent),1,24,5.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),10,13,24.0
Not difficult at all,League of Legends,PC,25.0,4.0,Male,Student at college / university,High school diploma (or equivalent),4,13,8.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at school,High school diploma (or equivalent),3,27,18.0
Not difficult at all,League of Legends,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,12,7.0
Somewhat difficult,League of Legends,PC,15.0,3.0,Male,Employed,Bachelor (or equivalent),6,15,14.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Employed,Bachelor (or equivalent),11,12,29.0
Not difficult at all,League of Legends,PC,60.0,2.0,Male,Student at school,,2,19,23.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),11,21,29.0
Very difficult,Other,PC,30.0,2.0,Male,Student at school,High school diploma (or equivalent),4,20,
Somewhat difficult,League of Legends,PC,25.0,2.0,Male,Student at college / university,Bachelor (or equivalent),11,20,23.0
Somewhat difficult,Other,PC,25.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),6,9,23.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),11,25,13.0
,League of Legends,PC,70.0,4.0,Male,Student at school,High school diploma (or equivalent),0,15,11.0
Not difficult at all,League of Legends,PC,21.0,2.0,Male,Employed,High school diploma (or equivalent),1,21,22.0
Very difficult,League of Legends,PC,70.0,2.0,Male,Student at school,,13,14,34.0
Not difficult at all,League of Legends,PC,16.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,15,10.0
Somewhat difficult,League of Legends,PC,10.0,3.0,Male,Student at college / university,High school diploma (or equivalent),5,22,14.0
Very difficult,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),6,17,
Not difficult at all,League of Legends,PC,15.0,2.0,Female,Student at college / university,High school diploma (or equivalent),4,23,7.0
Not difficult at all,Other,PC,5.0,3.0,Male,Employed,High school diploma (or equivalent),2,26,23.0
Somewhat difficult,League of Legends,PC,40.0,4.0,Male,Unemployed / between jobs,High school diploma (or equivalent),10,8,15.0
Somewhat difficult,League of Legends,PC,25.0,5.0,Male,Student at school,High school diploma (or equivalent),3,12,14.0
Not difficult at all,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),0,24,17.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),3,30,2.0
Not difficult at all,League of Legends,PC,25.0,4.0,Male,Employed,High school diploma (or equivalent),2,23,17.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Student at school,High school diploma (or equivalent),4,12,19.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),14,17,53.0
Very difficult,Counter Strike,PC,70.0,2.0,Male,Student at college / university,High school diploma (or equivalent),8,21,3.0
Somewhat difficult,League of Legends,PC,35.0,1.0,Male,Student at school,High school diploma (or equivalent),10,11,44.0
Somewhat difficult,Counter Strike,PC,10.0,1.0,Male,Student at college / university,Bachelor (or equivalent),1,21,11.0
Not difficult at all,League of Legends,PC,35.0,1.0,Male,Student at college / university,High school diploma (or equivalent),7,21,
,League of Legends,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,30,23.0
Extremely difficult,Counter Strike,PC,30.0,3.0,Male,Student at college / university,High school diploma (or equivalent),11,7,38.0
Not difficult at all,League of Legends,PC,25.0,3.0,Male,Employed,High school diploma (or equivalent),0,18,17.0
Not difficult at all,League of Legends,PC,24.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,18,7.0
Somewhat difficult,League of Legends,PC,35.0,2.0,Male,Student at college / university,,1,9,0.0
Not difficult at all,League of Legends,PC,28.0,1.0,Male,Student at college / university,Bachelor (or equivalent),3,12,21.0
Somewhat difficult,League of Legends,PC,30.0,4.0,Male,Student at college / university,High school diploma (or equivalent),11,22,28.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Employed,High school diploma (or equivalent),3,29,3.0
Not difficult at all,Hearthstone,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),4,8,29.0
Extremely difficult,League of Legends,PC,10.0,4.0,Male,Unemployed / between jobs,High school diploma (or equivalent),14,10,68.0
Somewhat difficult,Starcraft 2,PC,22.0,2.0,Male,Employed,Bachelor (or equivalent),5,28,3.0
Not difficult at all,Starcraft 2,PC,3.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,9,19.0
Somewhat difficult,League of Legends,PC,17.0,1.0,Female,Student at college / university,Master (or equivalent),14,30,24.0
Somewhat difficult,League of Legends,PC,20.0,4.0,Male,Student at college / university,High school diploma (or equivalent),5,20,37.0
Not difficult at all,League of Legends,PC,24.0,2.0,Male,Student at school,High school diploma (or equivalent),5,21,22.0
Extremely difficult,League of Legends,PC,10.0,1.0,Male,Employed,Bachelor (or equivalent),14,8,29.0
Somewhat difficult,League of Legends,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),7,15,5.0
Somewhat difficult,League of Legends,PC,20.0,3.0,Male,Employed,Bachelor (or equivalent),9,8,
Somewhat difficult,League of Legends,PC,6.0,1.0,Male,Student at school,,2,26,6.0
Very difficult,Other,PC,15.0,1.0,Male,Student at college / university,High school diploma (or equivalent),16,7,38.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,19,17.0
,League of Legends,PC,10.0,3.0,Male,Student at college / university,High school diploma (or equivalent),0,25,9.0
,League of Legends,PC,8.0,3.0,Male,Student at college / university,Bachelor (or equivalent),0,27,11.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Male,Employed,High school diploma (or equivalent),2,30,13.0
Somewhat difficult,League of Legends,PC,4.0,3.0,Male,Employed,High school diploma (or equivalent),6,18,8.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at school,High school diploma (or equivalent),3,23,
Not difficult at all,League of Legends,PC,6.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,13,34.0
Not difficult at all,League of Legends,PC,8.0,5.0,Male,Student at college / university,High school diploma (or equivalent),2,19,24.0
